WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Estimates Start After
122,AUT,LP,Austria,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: National Statistics Office. Note: mid-year population Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 03/2024,7.54,7.556,7.565,7.543,7.544,7.549,7.557,7.567,7.576,7.594,7.645,7.711,7.799,7.883,7.929,7.948,7.959,7.968,7.977,7.992,8.012,8.042,8.082,8.118,8.169,8.225,8.268,8.295,8.322,8.341,8.361,8.389,8.426,8.477,8.544,8.63,8.74,8.815,8.885,8.859,8.901,8.932,8.978,9.105,9.133,9.156,9.178,9.201,9.227,9.253,2023.0
912,AZE,LP,Azerbaijan,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Notes: Data prior to 2005 cannot be confirmed at this time. Primary domestic currency: Azerbaijan manat Data last updated: 02/2024,,,,,,,,,,,,,7.459,7.487,7.597,7.644,7.726,7.8,7.877,7.953,8.033,8.114,8.191,8.269,8.349,8.447,8.553,8.666,8.779,8.922,8.997,9.111,9.235,9.356,9.477,9.593,9.705,9.81,9.898,9.951,9.974,10.026,10.063,10.184,10.306,10.43,10.555,10.682,10.81,10.94,2022.0
313,BHS,LP,The Bahamas,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: Bahamian dollar Data last updated: 03/2024,0.211,0.215,0.22,0.225,0.23,0.234,0.238,0.242,0.247,0.251,0.255,0.259,0.264,0.269,0.273,0.279,0.284,0.288,0.293,0.298,0.304,0.308,0.313,0.318,0.323,0.328,0.332,0.337,0.342,0.347,0.351,0.355,0.359,0.362,0.366,0.37,0.373,0.377,0.381,0.385,0.389,0.394,0.399,0.404,0.408,0.413,0.417,0.421,0.425,0.429,2020.0
419,BHR,LP,Bahrain,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,"Source: National Statistics Office. For data prior to 1990, the source is IFS - International Financial Statistics Latest actual data: 2022 Primary domestic currency: Bahrain dinar Data last updated: 03/2024",0.353,0.367,0.38,0.393,0.406,0.42,0.435,0.45,0.467,0.484,0.488,0.508,0.516,0.53,0.544,0.559,0.574,0.589,0.605,0.621,0.638,0.661,0.711,0.765,0.824,0.889,0.96,1.039,1.107,1.178,1.235,1.195,1.209,1.253,1.315,1.37,1.424,1.501,1.503,1.484,1.472,1.504,1.542,1.581,1.62,1.661,1.703,1.745,1.789,1.834,2022.0
513,BGD,LP,Bangladesh,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: International Financial Institution Latest actual data: FY2019/20 Primary domestic currency: Bangladesh taka Data last updated: 03/2024,79.639,81.768,83.932,86.142,88.417,90.764,93.188,95.671,98.186,100.695,103.172,105.599,107.984,110.351,112.738,115.17,117.65,120.161,122.683,125.19,127.658,130.089,132.478,134.792,136.986,139.036,140.921,142.66,144.304,145.925,147.575,149.274,151.008,152.765,154.52,156.256,157.971,159.671,161.356,163.046,164.689,166.657,168.52,170.279,172.019,173.736,175.423,177.07,178.681,180.245,2020.0
316,BRB,LP,Barbados,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: Barbados dollar Data last updated: 03/2024,0.252,0.253,0.254,0.255,0.255,0.256,0.257,0.258,0.259,0.259,0.26,0.261,0.262,0.263,0.264,0.265,0.266,0.267,0.268,0.269,0.27,0.271,0.271,0.272,0.273,0.274,0.275,0.276,0.277,0.278,0.28,0.281,0.282,0.283,0.283,0.284,0.285,0.286,0.286,0.287,0.288,0.289,0.289,0.29,0.291,0.292,0.292,0.293,0.294,0.295,2020.0
913,BLR,LP,Belarus,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2022 Primary domestic currency: Belarusian ruble Data last updated: 02/2024",,,,,,,,,,,,,10.217,10.24,10.228,10.177,10.142,10.093,10.045,10.019,9.99,9.929,9.866,9.797,9.73,9.664,9.605,9.561,9.528,9.505,9.484,9.462,9.447,9.443,9.449,9.461,9.469,9.459,9.439,9.42,9.38,9.303,9.228,9.182,9.136,9.09,9.045,9.0,8.955,8.91,2022.0
124,BEL,LP,Belgium,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 03/2024,9.855,9.863,9.855,9.858,9.853,9.858,9.859,9.865,9.876,9.928,9.948,9.987,10.022,10.068,10.101,10.131,10.143,10.17,10.192,10.214,10.239,10.263,10.31,10.356,10.396,10.446,10.511,10.585,10.667,10.753,10.84,11.001,11.076,11.138,11.181,11.237,11.311,11.352,11.399,11.456,11.522,11.555,11.618,11.743,11.798,11.835,11.868,11.909,11.949,11.987,2023.0
339,BLZ,LP,Belize,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Belize dollar Data last updated: 03/2024,0.15,0.15,0.153,0.157,0.162,0.166,0.171,0.176,0.179,0.184,0.189,0.194,0.199,0.205,0.211,0.217,0.222,0.23,0.239,0.243,0.25,0.256,0.263,0.269,0.276,0.284,0.291,0.299,0.307,0.315,0.322,0.332,0.341,0.35,0.359,0.368,0.378,0.388,0.396,0.408,0.421,0.43,0.442,0.451,0.46,0.469,0.478,0.488,0.498,0.508,2022.0
638,BEN,LP,Benin,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: International Financial Institution Latest actual data: 2022 Primary domestic currency: CFA franc Data last updated: 02/2024,3.75,3.88,3.999,4.129,4.259,4.4,4.541,4.682,4.833,4.976,5.133,5.293,5.458,5.706,5.923,6.047,6.204,6.387,6.584,6.789,6.998,7.212,7.432,7.659,7.895,8.149,8.403,8.648,8.906,9.173,9.446,9.726,10.014,10.309,10.615,10.933,11.26,11.597,11.941,12.29,12.643,12.997,13.366,13.745,14.132,14.53,14.939,15.354,15.787,16.239,2022.0
514,BTN,LP,Bhutan,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: International Financial Institution. World Development Indicators Latest actual data: FY2020/21 Primary domestic currency: Bhutanese ngultrum Data last updated: 03/2024,0.408,0.419,0.43,0.44,0.451,0.464,0.479,0.495,0.511,0.524,0.53,0.529,0.522,0.513,0.506,0.503,0.507,0.515,0.528,0.543,0.558,0.574,0.591,0.602,0.613,0.624,0.635,0.643,0.651,0.659,0.667,0.675,0.683,0.692,0.7,0.713,0.722,0.731,0.735,0.738,0.745,0.753,0.76,0.767,0.775,0.782,0.79,0.797,0.805,0.813,2021.0
218,BOL,LP,Bolivia,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: National Statistics Office Latest actual data: 2017 Primary domestic currency: Bolivian boliviano Data last updated: 03/2024,5.161,5.587,5.703,5.822,5.944,6.068,6.195,6.324,6.456,6.591,6.728,6.869,7.012,7.213,7.419,7.567,7.717,7.871,8.026,8.183,8.43,8.59,8.75,8.91,9.07,9.23,9.39,9.55,9.71,9.87,10.03,10.19,10.35,10.51,10.67,10.83,10.99,11.15,11.31,11.47,11.63,11.8,11.96,12.13,12.29,12.45,12.635,12.823,13.014,13.208,2017.0
963,BIH,LP,Bosnia and Herzegovina,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: United Nations Latest actual data: 2022 Notes: No census has been taken since the 1990-s (pre-war); data estimated by national authority. Primary domestic currency: Bosnian convertible mark Data last updated: 02/2024,,,,,,,,,,,,,,,,,3.763,3.736,3.732,3.743,3.751,3.755,3.759,3.76,3.763,3.766,3.768,3.762,3.754,3.736,3.704,3.66,3.605,3.531,3.526,3.518,3.511,3.504,3.496,3.491,3.487,3.481,3.473,3.464,3.455,3.445,3.436,3.426,3.416,3.405,2022.0
616,BWA,LP,Botswana,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: International Financial Institution. World Development Indicators Latest actual data: 2021 Primary domestic currency: Botswana pula Data last updated: 02/2024,0.963,0.981,1.017,1.055,1.093,1.134,1.176,1.219,1.263,1.309,1.358,1.399,1.439,1.48,1.519,1.558,1.595,1.631,1.666,1.698,1.727,1.762,1.795,1.827,1.859,1.893,1.929,1.967,2.007,2.049,2.092,2.134,2.175,2.217,2.26,2.305,2.352,2.402,2.451,2.5,2.546,2.588,2.63,2.675,2.72,2.763,2.806,2.849,2.89,2.932,2021.0
223,BRA,LP,Brazil,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: National Statistics Office. Annual historical data are staff estimates using official census data. Latest actual data: 2022 Primary domestic currency: Brazilian real Data last updated: 03/2024,121.151,123.858,126.589,129.335,132.094,134.858,137.592,140.264,142.87,145.413,146.466,146.917,149.335,151.738,154.147,156.556,161.151,163.679,166.23,168.079,169.591,171.975,174.21,176.366,178.471,180.546,182.567,184.496,186.42,188.588,190.756,191.765,192.763,193.826,194.906,196.019,197.051,198.042,199.067,200.047,200.978,202.02,203.063,204.246,205.375,206.45,207.531,208.617,209.709,210.807,2022.0
516,BRN,LP,Brunei Darussalam,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: Ministry of Finance or Treasury. Department of Economic Planning and Statistics Latest actual data: 2022 Primary domestic currency: Brunei dollar Data last updated: 03/2024,,,,,,0.222,0.226,0.234,0.241,0.246,0.253,0.26,0.267,0.274,0.281,0.287,0.295,0.302,0.31,0.317,0.325,0.333,0.34,0.346,0.352,0.359,0.365,0.37,0.375,0.38,0.387,0.393,0.399,0.403,0.408,0.412,0.417,0.426,0.437,0.451,0.442,0.441,0.442,0.442,0.442,0.442,0.442,0.442,0.443,0.444,2022.0
918,BGR,LP,Bulgaria,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Bulgarian lev Data last updated: 03/2024,8.808,8.834,8.859,8.881,8.897,8.903,8.901,8.889,8.865,8.826,8.771,8.697,8.607,8.507,8.407,8.312,8.225,8.162,8.105,8.067,8.15,7.891,7.846,7.801,7.761,7.719,7.679,7.64,7.607,7.564,7.505,7.327,7.285,7.246,7.202,7.154,7.102,7.05,7.0,6.951,6.917,6.839,6.448,6.409,6.371,6.332,6.294,6.257,6.219,6.182,2022.0
748,BFA,LP,Burkina Faso,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: International Financial Institution Latest actual data: 2020 Primary domestic currency: CFA franc Data last updated: 03/2024,7.045,7.212,7.391,7.58,7.776,7.979,8.208,8.435,8.664,8.895,9.131,9.365,9.599,9.84,10.091,10.353,10.621,10.897,11.201,11.534,11.883,12.25,12.632,13.031,13.446,13.876,14.316,14.757,15.198,15.65,16.117,16.603,17.114,17.636,18.17,18.718,19.275,19.836,20.393,20.952,21.54,22.145,22.766,23.405,24.062,24.738,25.432,26.146,26.88,27.635,2020.0
618,BDI,LP,Burundi,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: Other Latest actual data: 2021 Primary domestic currency: Burundi franc Data last updated: 03/2024,4.09,4.21,4.334,4.461,4.591,4.726,4.864,5.007,5.154,5.305,5.46,5.62,5.78,5.77,5.87,5.98,6.09,6.19,6.3,6.489,6.684,6.884,7.091,7.26,7.478,7.512,7.737,7.969,8.232,8.504,8.776,9.048,9.329,9.618,9.907,10.204,10.53,10.867,11.193,11.529,11.875,12.231,12.598,12.976,13.365,13.766,14.179,14.605,15.043,15.494,2021.0
624,CPV,LP,Cabo Verde,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Cabo Verdean escudo Data last updated: 02/2024,0.289,0.294,0.299,0.305,0.312,0.318,0.325,0.332,0.339,0.346,0.354,0.363,0.371,0.38,0.379,0.389,0.399,0.408,0.417,0.426,0.435,0.444,0.452,0.46,0.468,0.475,0.481,0.486,0.492,0.497,0.502,0.508,0.514,0.52,0.526,0.533,0.54,0.546,0.544,0.55,0.557,0.563,0.57,0.577,0.584,0.591,0.598,0.605,0.612,0.619,2018.0
522,KHM,LP,Cambodia,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Cambodian riel Data last updated: 03/2024,,,,,,,7.736,7.967,8.198,8.447,8.723,9.028,9.352,9.689,10.099,10.427,10.738,11.034,11.314,11.581,11.835,12.027,12.223,12.421,12.623,12.829,13.037,13.249,13.465,13.684,13.906,14.132,14.362,14.596,14.833,15.074,15.319,15.568,15.821,16.079,16.338,16.592,16.843,17.012,17.182,17.354,17.527,17.703,17.88,18.058,2022.0
622,CMR,LP,Cameroon,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: Estimates from UN Population Prospects Latest actual data: 2022 Primary domestic currency: CFA franc Data last updated: 02/2024,8.808,9.064,9.319,9.574,9.831,10.093,10.372,10.667,10.98,11.313,11.665,12.025,12.391,12.764,13.145,13.513,13.892,14.28,14.68,15.091,15.514,15.929,16.358,16.801,17.259,17.733,18.224,18.73,19.253,19.79,20.341,20.906,21.485,22.077,22.682,23.298,23.927,24.566,25.216,25.876,26.546,27.224,27.912,28.608,29.315,30.032,30.759,31.496,32.244,33.0,2022.0
156,CAN,LP,Canada,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Canadian dollar Data last updated: 03/2024,24.471,24.785,25.083,25.336,25.577,25.813,26.067,26.398,26.751,27.215,27.632,27.987,28.324,28.651,28.96,29.263,29.57,29.868,30.124,30.367,30.647,30.971,31.308,31.602,31.899,32.203,32.529,32.849,33.199,33.582,33.959,34.299,34.664,35.032,35.389,35.676,36.053,36.494,37.009,37.555,37.998,38.223,38.867,39.966,40.866,41.398,41.917,42.423,42.917,43.398,2022.0
626,CAF,LP,Central African Republic,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: International Financial Institution Latest actual data: 2022 Primary domestic currency: CFA franc Data last updated: 02/2024,2.279,2.348,2.407,2.467,2.526,2.595,2.684,2.741,2.795,2.852,2.913,2.98,3.051,3.125,3.201,3.276,3.35,3.425,3.498,3.57,3.638,3.704,3.767,3.83,3.894,3.961,4.032,4.107,4.185,4.266,4.35,4.419,4.436,4.448,4.464,4.493,4.538,4.596,4.666,4.745,4.83,4.92,5.017,5.119,5.227,5.338,5.454,5.572,5.694,5.817,2022.0
628,TCD,LP,Chad,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,Source: United Nations World Population Prospects (2022) Latest actual data: 2022 Primary domestic currency: CFA franc Data last updated: 03/2024,4.514,4.613,4.718,4.832,4.958,5.095,5.247,5.413,5.59,5.774,5.963,6.157,6.357,6.564,6.781,7.01,7.251,7.503,7.77,8.054,8.356,8.678,9.019,9.374,9.735,10.097,10.457,10.818,11.184,11.56,11.952,12.361,12.785,13.22,13.664,14.111,14.562,15.017,15.478,15.947,16.426,16.915,17.414,17.921,18.437,18.961,19.491,20.03,20.576,21.129,2022.0
